Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Gulfmart - Khaitan 2,+965 24719763,,,,,"Al Alanda Commercial Complex,Block No 8,Street no 73,South Khaitan",Al Farwaniyah Governorate,Kuwait,"Gulfmart, “the supermarket of choice”, is the fastest growing supermarket chain in Kuwait. It is a division of the UAE based renowned retail conglomerate which is located in Kuwait.",http://gulfmartkuwait.com/,https://kuwaitlocal.com/business/gulfmart-khaitan-2,https://www.facebook.com/pages/Gulfmart-Supermarket-Kuwait/801448839931521,,https://www.linkedin.com/pub/gulf-mart-imran-imran/40/925/7a18,https://twitter.com/gulfmart_kuwait,
House Of Development For Agricultural Cont Co - Kuwait City,+965 22421713,,,,,"Al Mowash Tower,Al Shuhada Street,Kuwait City",Capital Governorate,Kuwait,"HOUSE OF DEVELOPMENT FOR AGRICULTURAL CONT. COMPANY is a Legal Services company located in Al Mawas Towers, SAFAT, Kuwait.",http://www.hodagri.com/,https://kuwaitlocal.com/business/house-of-development-for-agricultural-cont-co-kuwait-city,https://www.facebook.com/pages/House-of-Development-for-Agricultural-Contracting-CoWLL-Kuwait,,,,
Gulfmart - Salmiya 1,+965 25716597,,,,,"Dana Center,SalemAl Mubarak Street,Near Nassar Sports,Behind Caesars Avanti Palace Restaurant,Salmiya",Hawalli Governorate,Kuwait,"Gulfmart, “the supermarket of choice”, is the fastest growing supermarket chain in Kuwait. It is a division of the UAE based renowned retail conglomerate which is located in Kuwait.",http://gulfmartkuwait.com/,https://kuwaitlocal.com/business/gulfmart-salmiya-1,,,https://www.linkedin.com/pub/gulf-mart-imran-imran/40/925/7a6,https://twitter.com/gulfmart_kuwait,
Metalex Energy Company - Kuwait City,+965 22240233,,,,,"Fahad Al Salem Street,Panasonic Tower,Floor 17,Kuwait City",Capital Governorate,Kuwait,Metalex Energy Company focuses on the Oil & Gas infrastructure development projects by capitalizing on its extensive knowhow and project portfolio. Our services focus on Oil & Gas construction projects ensuring full commitment towards safeguarding the environment,http://www.metalexenergy.com/,https://kuwaitlocal.com/business/metalex-energy-company-kuwait-city,,,,,
Mais Alghanim - Hawally,+965 1821155,,,,,"Block 6, 323 Street,Hawally",Hawalli Governorate,Kuwait,"The origin of Mais Alghanim Restaurant dates back to 1953 when our founding father Edmond Barakat, opened a staff cafeteria for the employees of Yusuf Ahmed Alghanim & Sons Co., duly called “Mess Alghanim”. This was the beginning of a long lasting relationship between the Kuwaiti & Expatriate communities and the late Abu Emile and his “Mess”. In a short time, the cafeteria became a meeting place for all serving complete meals and offering take-away services, transforming the humble canteen in...",http://www.maisalghanim.com/,https://kuwaitlocal.com/business/mais-alghanim-hawally,https://www.facebook.com/maisalghanimgroup,https://instagram.com/maisalghanim,https://kw.linkedin.com/company/mais-alghanim-restaurant,https://twitter.com/maisalghanim,
Palms Agro Production Company - Al Rai,+965 24718903,,,,,"Palms Agro Production Company Building,Block 56,4th Ring Road,Al-Rai",Al Farwaniyah Governorate,Kuwait,"Palms Agro Production Company is a Biotechnology company located in Palms Agro Production Company Building, Kuwait City, Kuwait.",https://www.zawya.com/company/profile/282437/Palms_Agro_Production_Company/PAPCO.KSE/,https://kuwaitlocal.com/business/palms-agro-production-company-al-rai,,,,,
Al Ruwad United General Trading And Contracting Co - Sharq,,,,,,"Al Shuhada Street,Al Muwash,Floor 5,6,7,Sharq",Capital Governorate,Kuwait,"Al-Ruwad United General Trading & Contracting Co. , is a limited liability company established in the year 2000 by a group of business men veteran in the field of service provision. Our 8 services branches provide our customers with over 50 different services in the fields of Environment, agriculture, security, sewers, laundry, human resources, cargo & maintenance. Our HR experience and our 4000+ workers workforce in addition to our commercial connections with foreign Asian, European & middle...",http://www.alruwadunited.com/,https://kuwaitlocal.com/business/al-ruwad-united-general-trading-and-contracting-co-sharq,https://www.facebook.com/pages/Al-Ruwad-United-General-Trading-Contracting-Co-Kuwait,,https://www.linkedin.com/company/al-ruwad-united-general-trading-&-contracting-co-,,
Tekneen District Cooling And Utilities - Sabhan,+965 24721199,,,,,"Kazema Building,Sabhan Industrial Area",Mubarak Al-Kabeer Governorate,Kuwait,"Tekneen District Cooling & Utilities KSCC is an Environmental Services company located in Kazema Building, Kuwait City, Al Assimah, Kuwait..",http://www.zawya.com/company/profile/12575496/Tekneen_District_Cooling__Utilities_KSCC/,https://kuwaitlocal.com/business/tekneen-district-cooling-and-utilities-sabhan,,,https://www.linkedin.com/company/tekneen-district-cooling-&-utilities-kscc,,
Sgs - Ahmadi 1,,,,,,"Industrial Area,344 Street,Al Ahmadi",Al-Ahmadi Governorate,Kuwait,"Recognized as the global benchmark for quality and integrity, we employ more than 80,000 people and operate a network of over 1,650 offices and laboratories around the world. We are constantly looking beyond customers’ and society’s expectations in order to deliver market leading services wherever they are needed. As the leader in providing specialized business solutions that improve quality, safety and productivity and reduce risk, we help customers navigate an increasingly regulated world. ...",http://www.sgs.com/,https://kuwaitlocal.com/business/sgs-ahmadi-1,https://www.facebook.com/SocieteGeneraledeSurveillance,,https://www.linkedin.com/company/sgs,https://twitter.com/SGS_SA,http://www.youtube.com/user/sgseditor
Sgs - Ahmadi 2,,,,,,"Industrial Area,Block 6,Al Ahmadi",Al-Ahmadi Governorate,Kuwait,"Recognized as the global benchmark for quality and integrity, we employ more than 80,000 people and operate a network of over 1,650 offices and laboratories around the world. We are constantly looking beyond customers’ and society’s expectations in order to deliver market leading services wherever they are needed. As the leader in providing specialized business solutions that improve quality, safety and productivity and reduce risk, we help customers navigate an increasingly regulated world. ...",http://www.sgs.com/,https://kuwaitlocal.com/business/sgs-ahmadi-2,https://www.facebook.com/SocieteGeneraledeSurveillance,,https://www.linkedin.com/company/sgs,https://twitter.com/SGS_SA,http://www.youtube.com/user/sgseditor
Sgs - Fahaheel,,,,,,"7th Floor,Hamoud Tower,Coastel Road,Fahaheel",Al-Ahmadi Governorate,Kuwait,"Recognized as the global benchmark for quality and integrity, we employ more than 80,000 people and operate a network of over 1,650 offices and laboratories around the world. We are constantly looking beyond customers’ and society’s expectations in order to deliver market leading services wherever they are needed. As the leader in providing specialized business solutions that improve quality, safety and productivity and reduce risk, we help customers navigate an increasingly regulated world. ...",http://www.sgs.com/,https://kuwaitlocal.com/business/sgs-fahaheel,https://www.facebook.com/SocieteGeneraledeSurveillance,,https://www.linkedin.com/company/sgs,https://twitter.com/SGS_SA,http://www.youtube.com/user/sgseditor
Gulfmart - Fahaheel 2,+965 23931608,,,,,"Othaa ibi Complex,Building No 4,Block No 5,Road No 213,Fahaheel",Al-Ahmadi Governorate,Kuwait,"Gulfmart, “the supermarket of choice”, is the fastest growing supermarket chain in Kuwait. It is a division of the UAE based renowned retail conglomerate which is located in Kuwait.",http://gulfmartkuwait.com/,https://kuwaitlocal.com/business/gulfmart-fahaheel-2,https://www.facebook.com/pages/Gulfmart-Supermarket-Kuwait/801448839931521,,https://www.linkedin.com/pub/gulf-mart-imran-imran/40/925/7a19,https://twitter.com/gulfmart_kuwait,
Dar Al Khalaf Agricultural Company,+96599889274,,,,,"Floor 6,Office 610,Kuwait City",Capital Governorate,Kuwait,"Dar Alkhalaf for Agricultural Studies & Consultations is considered to be one of the major experienced companies in Kuwait. We are specialized in providing unique technical expertise in many agricultural fields as well as investment projects related to the agricultural field, through preparing projects and performance of economical, technical, and financial feasibility studies and marketing studies. Moreover, we are providing technical support services and human development. We also assist co...",http://www.daralkhalaf.com/,https://kuwaitlocal.com/business/dar-al-khalaf-agricultural-company,,,https://www.linkedin.com/company/dar-alkhalaf-for-agricultural-studies-&-consultations-company,,
Burgan Agricultural Food Industry Est - Kuwait City 3,+96597029332,,,,,"Wafra Center,South Of Kuwait,Kuwait City",Capital Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-kuwait-city-3,,,,,
Ucacs Third Party Eco Green Consulting - Kuwait City,,,,,,Kuwait City,Capital Governorate,Kuwait,"Your reliable & risk-taking partner when it comes to independent inspection and testing services whether bottom line profitability. to your refinery, construction site or simply your product. Constant improvement of your processes is our main concern, as well as raising the proficiency of your main asset: your people. Comes along with it as a final result, financial efficiency.",http://www.ucacs.com/,https://kuwaitlocal.com/business/ucacs-third-party-eco-green-consulting-kuwait-city,,,https://www.linkedin.com/company/ucacs-third-party-eco-green-consulting,,
Burgan Agricultural Food Industry Est - Abdaly 1,+96597020132,+96523811159,+96523811158,,,"Abdaly Farming Area,Abdali",Al Jahra Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-abdaly-1,,,,,
Greenfields Agriculture Co - Al Rai,+965 1808555,,,,,"384 2 St,Al-Rai",Al Farwaniyah Governorate,Kuwait,"Green Fields Agriculture Company was incorporated in 1981 with the objectives of undertaking & engaging in landscaping, beautification, forestation, irrigation as well as trading and contracting business in the State of Kuwait. Greenfields Agriculture Company is a part of Al Injazat Holding Company which also includes: 1. Mohammed N. Al Hajery and Sons Ltd,2. Hydrotek Engineering Company, 3. Sabhan Factory 4. Al Hilal International (Medical Center). Al Injazat General Trading & Contracting Co...",https://www.gfac.com.kw,https://kuwaitlocal.com/business/greenfields-agriculture-co-al-rai,https://www.facebook.com/GreenfieldsKw,http://instagram.com/GreenfieldsQ8/#,,https://twitter.com/greenfieldskw,
Burgan Agricultural Food Industry Est - Wafra,+965 22455599,,,,,Wafra,Al-Ahmadi Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-wafra,,,,,
Burgan Agricultural Food Industry Est - Al Rai,+965 22455599,,,,,"central agriculture area,Al-Rai",Al Farwaniyah Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-al-rai,,,,,
Burgan Agricultural Food Industry Est - Kuwait City 2,,,,,,"Garden Center,Kuwait City",Capital Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-kuwait-city-2,,,,,
Gulf Palm General Trad And Cont Company - Al Rai,+965 24727031,,,,,"Nurseries 48 & 49, 4th Ring Road, ,Al-Rai",Al Farwaniyah Governorate,Kuwait,"issue Culture Palms Centre) has been established in 1991 immediately after the invasion. The nursery had been purchased at Ar Rai and palm offshoots had been imported from Saudi Arabia. They faced some difficulties in importing offshoots of the good varieties so they decided to get sources of American tissue culture laboratories, for supplying Tissue Culture Palms. Offshoots of the excellent and most popular palm varieties of Gulf region were collected and sent to States for micro propagation...",https://www.gulfpalms.com,https://kuwaitlocal.com/business/gulf-palm-general-trad-and-cont-company-al-rai,,,,,
Burgan Agricultural Food Industry Est - Kuwait City 1,+965 24733376,,,,,"Farmer Center,Kuwait City",Capital Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-kuwait-city-1,,,,,
Burgan Agricultural Food Industry Est - Abdaly 2,+965 22455599,,,,,"Abdaly Center,Abdali",Al Jahra Governorate,Kuwait,"Burgan Agri Co. was established in 1981 as provider of quality goods and services for the growing agriculture, poultry, livestock and food processing sectors. Other these years we have gained knowledge via our international partners as well as first hand experience by providing major and minor projects for the Kuwait government (Municipality, Ministry of Defense, Public Authority for Agriculture Affairs and Fisheries) as well as private companies and farmers. This has allowed us to provide mo...",https://www.bafi.net,https://kuwaitlocal.com/business/burgan-agricultural-food-industry-est-abdaly-2,,,,,
Gulf Palm General Trad And Cont Company - Wafra 1,+96597029104,+96597029105,+96597029106,,,"Wafra Show Room,Gulf palms trading and co,Wafra",Al-Ahmadi Governorate,Kuwait,"issue Culture Palms Centre) has been established in 1991 immediately after the invasion. The nursery had been purchased at Ar Rai and palm offshoots had been imported from Saudi Arabia. They faced some difficulties in importing offshoots of the good varieties so they decided to get sources of American tissue culture laboratories, for supplying Tissue Culture Palms. Offshoots of the excellent and most popular palm varieties of Gulf region were collected and sent to States for micro propagation...",https://www.gulfpalms.com,https://kuwaitlocal.com/business/gulf-palm-general-trad-and-cont-company-wafra-1,,,,,
American General Trading And Contracting,+965 23924523,,,,,Safat,Capital Governorate,Kuwait,"American General Trading & Contracting (AGT), the flagship company of AGT was established to provide comprehensive solutions and services to its customers and clients in the State of Kuwait. AGT is an American managed Kuwait headquartered company with offices throughout the Gulf region; with well developed expertise in a range of sectors including: General Construction; Interior Design and Fit Out; Transportation & Logistics; Heavy Equipment; Manpower Supplies, Meet and Greet Services, Commer...",http://www.agtkuwait.com/,https://kuwaitlocal.com/business/american-general-trading-and-contracting-1,https://www.facebook.com/pages/American-General-Trading-Cont/483311151767636,,https://www.linkedin.com/company/american-general-trading-&-contracting,,
Gulf Palm General Trad And Cont Company - Wafra2,+96560660375,+96560660391,+96597118588,,,"Farm In Abdali,Closed To Fire Station,Wafra",Al-Ahmadi Governorate,Kuwait,"issue Culture Palms Centre) has been established in 1991 immediately after the invasion. The nursery had been purchased at Ar Rai and palm offshoots had been imported from Saudi Arabia. They faced some difficulties in importing offshoots of the good varieties so they decided to get sources of American tissue culture laboratories, for supplying Tissue Culture Palms. Offshoots of the excellent and most popular palm varieties of Gulf region were collected and sent to States for micro propagation...",https://www.gulfpalms.com,https://kuwaitlocal.com/business/gulf-palm-general-trad-and-cont-company-wafra2,,,,,
Shems International - Kuwait City,+965 22424323,,,,,"Fahed Al Salem Street,Al Souk,Al Kabeer Building,Tower A,Floor 7,Office 714,Kuwait City",Capital Governorate,Kuwait,"You can conserve and protect the environment, the health of your employees and the people of the community by improving your environmental performance. This requires establishing Environment, Health and Safety Management systems. SHEMS can review the environmental aspects of your organization, do the Gap Analysis, help you implement and audit your Environmental, Health, and Safety Management systems.The Professionals at SHEMS will provide with professional assistance through their experienced...",http://www.shemsconsultants.biz/,https://kuwaitlocal.com/business/shems-international-kuwait-city,https://www.facebook.com/pages/Shems-International-Environmental-Consultants-Kuwait-City,,,,
Arabi Holding Group Comapny - Al Rai,+965 22491729,,,,,"Ghazali St,Al-Rai",Al Farwaniyah Governorate,Kuwait,"Arabi Holding Group Company K.S.C., is one of the leading companies in Kuwait established in 1981. Five well established and financially secure companies merged to form the Arabi Holding Group. This merger enabled these companies which retained their individual identity, to be merged corporately, thus increasing their effectiveness, by coordinating their combined expertise and financial resources. These five companies, each of which had made a significant impact in the rapid advances in Kuwai...",https://www.arabigroup.com,https://kuwaitlocal.com/business/arabi-holding-group-comapny-al-rai,,,,,
Hassad Agriculture Company - Safat,+965 22636536,,,,,"Sarawi Building,Tunis street,Hawally",Hawalli Governorate,Kuwait,"Is a past company in the investment and its beginnings were in 1940 where he practiced all activities Almokhtlfah.ouma the beginning of economic development that took place in Kuwait , especially in the mid- seventies practiced company then several investments including agricultural , and evolved in that area a great development .. But the invasion in 1990 failure of the completion of the field for a brief period .uaadt squares and rebounded again after the liberation in 1992 , where he was d...",https://www.hassad-kw.com,https://kuwaitlocal.com/business/hassad-agriculture-company-safat,,,,,
Amco Oasis Company - Farwaniya,+965 24724090,,,,,Farwaniya,Al Farwaniyah Governorate,Kuwait,"Amco Oasis Compay is located in Farwaniya, Kuwait.",https://www.amcooasis.com,https://kuwaitlocal.com/business/amco-oasis-company-farwaniya,,,https://www.linkedin.com/company/amco-oasis?trk=company_logo,,
M East Commercial Info - Kuwait Co - Sharq,+965 22441625,,,,,"Sharq area, Khaled Ibn Al Waleed Street, Ajeel Bldg.3rd floor,opposite Al Shaheed ,Sharq",Capital Governorate,Kuwait,"MECICO KUWAIT FOUNDED IN 1975 BY HE. SHEIKH MOHAMMED SAUD AL SABAH and DR. ELIAS BALADI. HOWEVER BASIC FOUNDATION WAS MADE ERLIER IN 1970 WHEN DR. BALADI STARTED BUILDING HIS DATA BANK WHICH LATER HAD BECOME THE CORNER STONE OF THIS BUSINESS.AS OF TODAY, WE ARE WITH MORE THAN 33 YEARS OF EXPERIENCE IN THE REGION WE HAVE ESTABLISHED A HIGHLY RESPECTED POSITION ALL ARROUND OWING TO THE VALUABLE SERVICES THAT WE HAVE RENDERED TO MAJOR INTERNATIONAL FOUNDATIONS AND TO THEIR LOCAL BUSINESS PARTNER...",https://www.mecico-kuwait.com,https://kuwaitlocal.com/business/m-east-commercial-info-kuwait-co-sharq,,,,,
Eco Enviromental Consaltants - Mirqub,+965 22426665,,,,,"Souk Al-Kabir Building, Real Estate Company Building, Block A, 7th Floor,Mirqab",Capital Governorate,Kuwait,"Eco-Environmental Consultants Firm Environment & Community Onward \""We donate 2.5% of our profit to humanitarian & environmental causes \"" The Founder & General Manager of Eco is Dr. Ali Muhammad Khuraibet. Our logo represents a deep concept with a philosophical touch. It represents the unity, differences and harmony of the earth components and the universe. Our logo design is based on the concept of harmony with and in nature. To achieve harmony between human activities and nature, ethics an...",https://www.ecoconsaltants.biz,https://kuwaitlocal.com/business/eco-enviromental-consaltants-mirqub,,,,,
Livestock Transport And Trading Company - Kuwait City,+965 22402109,,,,,"General Department â€“ Al Salhiya Trading Complex ,Gate 3 , (2nd & 4th Floor ),Kuwait City",Capital Governorate,Kuwait,Livestock Transport & Trading Co. K.S.C -Kuwait City,https://www.kltt.com.kw,https://kuwaitlocal.com/business/livestock-transport-and-trading-company-kuwait-city,,,,,
Al Shaheen Nurseries Agriculture And Food Co. - Al Rai,+965 24713823,,,,,"Block 1,Al-Rai",Al Farwaniyah Governorate,Kuwait,"ALSHAHEEN NURSERIES AGRICULTURE & FOOD CO. Established in 1985, it is one of the leading companies in the sales of agricultural products, plants, indoor and outdoor Gardening design. ALSHAHEEN NURSERIES has been ever since developing itself as one of the leaders in the field of agriculture retail, wholesale, and landscaping. ALSHAHEEN NURSERIES team is run by well qualified engineers and experienced supervisors, with a long and successful track record in agriculture projects execution. Manage...",https://www.alshaheen.com.kw,https://kuwaitlocal.com/business/al-shaheen-nurseries-agriculture-and-food-co-al-rai,,,,,
Fahad Al Bahar Sons Trad Company - Safat,+965 24928881,,,,,Safat,Capital Governorate,Kuwait,"If your needs range from communications systems and networks, landscaping services, irrigation products or oil and gas services, we can help you. We are based in Kuwait and have four major business divisions: Communications, Oil & Gas Services, Landscaping Specialized Services, and Irrigation Products and Services.",https://www.fbs.com.kw,https://kuwaitlocal.com/business/fahad-al-bahar-sons-trad-company-safat,,,,,
Abdulrahman Sultan Sons Co - Shuwaikh,+965 24710452,,,,,"Abdul Rahman Sultan and Sons Company Building,Al Rayy Area ,Al Shuwaikh,Shuwaikh",Capital Governorate,Kuwait,Abdulrahman Sultan Sons Co. - Shuwaikh,https://www.sultannet.net,https://kuwaitlocal.com/business/abdulrahman-sultan-sons-co-shuwaikh,,,,,
Shems International - Bneid Al Gar,,,,,,"Al Shareef Al Redha Street,Bneid Al Gar",Capital Governorate,Kuwait,"You can conserve and protect the environment, the health of your employees and the people of the community by improving your environmental performance. This requires establishing Environment, Health and Safety Management systems. SHEMS can review the environmental aspects of your organization, do the Gap Analysis, help you implement and audit your Environmental, Health, and Safety Management systems.The Professionals at SHEMS will provide with professional assistance through their experienced...",http://www.shemsconsultants.biz/,https://kuwaitlocal.com/business/shems-international-bneid-al-gar,https://www.facebook.com/pages/Shems-International-Environmental-Consultants-Kuwait-City,,,,
Molden Technical And Consulting Projects Company - Safat,+965 22450445,,,,,Safat,Capital Governorate,Kuwait,Molden Technical &consulting Projects Co. - Safat,https://www.mtcpco.com,https://kuwaitlocal.com/business/molden-technical-and-consulting-projects-company-safat,,,,,
Fresh Fruit Company - Shuwaikh,+96555337522,,,,,"Industrial Area 3,Snear Wholesale Market Street,Block A,Street 67,Building 221,Shuwaikh",Capital Governorate,Kuwait,Fresh Fruit Company-Shuwaikh,http://www.freshfruitsco.com/,https://kuwaitlocal.com/business/fresh-fruit-company-shuwaikh,,,,,
Bin Nisf,+965 1822244,,,,,"Street 26,Block 1, P O Box 871 Safat, 13009,Shuwaikh",Capital Governorate,Kuwait,Bin Nisf Which Is Located In Kuwait,http://www.bin-nisf.com/,https://kuwaitlocal.com/business/bin-nisf,,,,,
