Name,Phone_1,Phone_2,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter
Msr Group - Kuwait City,,,"Qibla Street,Building 78,Office 2,Souk Al Harim Omani Complex,Kuwait City",Capital Governorate,Kuwait,"MSR GROP Air Conditioning Services since 1990 is an Air Conditioning and Refrigeration company, which currently employs some 45 employees, including commissioning and service technicians, and has the experience and expertise to successfully complete all types of commercial and industrial projects. MR. JOY THOMAS as Managing Director, is responsible for the overall performance of the Service Company and, with his past experience, maintains MSR GROUP reputation for quality maintenance and servi...",,https://kuwaitlocal.com/business/msr-group-kuwait-city,,,,
Yousuf A. Alghanim & Sons W.l.l.,+965 1881111,,Shuwaikh,Capital Governorate,Kuwait,Yousuf A. Alghanim & Sons W.L.L. Business Activities,,https://kuwaitlocal.com/business/yousuf-a-alghanim-sons-w-l-l,,,,
Al Fereeh General Trading & Contracting Company,+96599016154,,"210 Main Street near Shahreen Pharmacy Building 174 ,Mahboula",Al-Ahmadi Governorate,Kuwait,"Let me first introduce my self This is Muhammad Atif with you from Al Fereeh Co Kuwait I take much pride to introduce to you one of the pioneers in the Logistic Industry, Al Fereeh General Trading & Contracting Company. Our company have been in the business of ISPR OSPR Telecommunication Infrastructure, Fabrication, Chain link Fencing, Supply all kind of light and heavy equipment with operator and with out operator,Supply of Manpower with Transportation, Supply rent of Flats and Villas long t...",,https://kuwaitlocal.com/business/al-fereeh-general-trading-contracting-company,,,,
Cool Friendly - Maidan Hawally,+96550688488,+96555644744,"Yashreb Street,Block 11,Jaddah 3,Bldg 3,Office No. 1,Maidan Hawally",Hawalli Governorate,Kuwait,"All kind of Air condition Supplies with original warranties from alghanim and babtain at the price of whole sale market never yoyu can get less than from us. Split Air conditions - LG , Career , Shivaki We also have maintenance team for all kind of servicing and also replacing your Ac from one location to another call us to know more 50688488",,https://kuwaitlocal.com/business/cool-friendly-maidan-hawally,,,,
Pro Line Company - Hawally,,,"Opp Post Office,Beirut Street,Hawally",Hawalli Governorate,Kuwait,"Spare Parts of window ac, split, central ac Compression Gas for A/C.",,https://kuwaitlocal.com/business/pro-line-company-hawally,,,,
German Pipe Center - Shuwaikh,+965 22650150,,Shuwaikh,Capital Governorate,Kuwait,"GERMAN PIPES CENTRE in The State of Kuwait is a pioneer in the field of Plastics, importers and wholesalers of Plastic Pipes and Fittings for portable water, Sewage and Drainage to meet the highest standards and demands of valuable customers. The company was established by Mr.Rafi Haider Contractor with Mr.Jamal E.H.Buloushi in the year 2001. Due to positive approach and with 25 years of excellent track record, skilled and with work experience, Mr.Rafi Haider Contractor, then, was the trend s...",,https://kuwaitlocal.com/business/german-pipe-center-shuwaikh,,,,
Al-Jinah Al-Akhdar Electrical Company,+96566056568,+96555768195,"Canada Dry Street,Zeena Street,Entrance of Al Fanous Company,Shop No.7,Shuwaikh",Capital Governorate,Kuwait,We repair and rewind all kinds of motors and single phase and three phase a/c motors and electric goods. We have a professional team to take care of the job and we deliver our promise to the customer along with service.,,https://kuwaitlocal.com/business/al-jinah-al-akhdar-electrical-company,,,,
Super Steel Al Taiyab And Building Construction Material Company,+96560715283,,"street 27, Opposite Asia Star, Al Rai. Kuwait,Al-Rai",Al Farwaniyah Governorate,Kuwait,"We are the trusted suppliers of metal sheets like Galvanize Sheets, Aluminum Sheets, Stainless Steel Sheets and White and Cream Powder Coated Iron Sheets. Our products are mainly used in Air Conditioner Ducting, Door and Windows Manufacturing, Utensils Manufacturing, Interior Designing, Advertising Industry and many more.",,https://kuwaitlocal.com/business/super-steel-al-taiyab-and-building-construction-material-company,,,,
Kuwait & Pakistan Est,+96566537200,,"Amman Street,Block 10,Near Indian Don Bosko School,Salmiya",Hawalli Governorate,Kuwait,Kuwait & Pakistan Est,,https://kuwaitlocal.com/business/kuwait-pakistan-est,,,,
Pro Line Company - Al Rai,+96599743954,,"Opp ACE Hardware`,Street 9,Al-Rai",Al Farwaniyah Governorate,Kuwait,,,https://kuwaitlocal.com/business/pro-line-company-al-rai,,,,
Ahmadiah Air Conditioning Est,+965 22612060,,Hawally,Hawalli Governorate,Kuwait,Ahmadiah Air Conditioning Est Which is Located in Kuwait,,https://kuwaitlocal.com/business/ahmadiah-air-conditioning-est,,,,
Al Rabiah International Contracting Company,,,"Shuaiba Industrial Area,Subahiya",Al-Ahmadi Governorate,Kuwait,Al Rabiah International Contracting Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-rabiah-international-contracting-company,,,,
Naser Ibrahim Al Saqabi Est,+965 24841553,,Safat,Capital Governorate,Kuwait,Naser Ibrahim Al Saqabi Est Which is Located in Kuwait,,https://kuwaitlocal.com/business/naser-ibrahim-al-saqabi-est,,,,
Al Boom Est,,,Hawally,Hawalli Governorate,Kuwait,Al Boom Est Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-boom-est,,,,
Al Essa Air Conditioning Company,+965 24832391,,Kuwait City,Capital Governorate,Kuwait,Al Essa Air Conditioning Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-essa-air-conditioning-company,,,,
National Electric Workshop,+96599064804,+96599186526,"Opp.Hayat Marble,Shuwaikh",Capital Governorate,Kuwait,"National Electric Workshop are known for their ability in maintaining and repairing all electrical items. We repair generators, also take care of electric motor repairing, water pump and rewinding.",,https://kuwaitlocal.com/business/national-electric-workshop,,,,
Nasser Ibrahim Al Saqabi Establishment,+965 24841553,,"Shuwaikh Industry,Shuwaikh",Capital Governorate,Kuwait,Nasser Ibrahim Al Saqabi Establishment Which is Located in Kuwait,,https://kuwaitlocal.com/business/nasser-ibrahim-al-saqabi-establishment,,,,
Balat Al Shohadaa Establishment,,,Mubarak Al-Kabeer,Mubarak Al-Kabeer Governorate,Kuwait,Balat Al Shohadaa Establishment Which is Located in Kuwait,,https://kuwaitlocal.com/business/balat-al-shohadaa-establishment,,,,
Al Adal Air Condition,,,Dasman,Capital Governorate,Kuwait,"AC Repair and Services,Central AC Repair and Services,Split AC Repair and Services,Window AC Repair and Services,Washing Machine Repair and Services, Automatic Washing Machine Repair and Services,Manual Washing Machine Repair and Services,Front Load Washing Machine Repair and Services,Top Load Washing machine Repair and Services,Refrigerator repair and Services",,https://kuwaitlocal.com/business/al-adal-air-condition,,,,
Al Jazeera Warba Repairing Center,,,Kuwait City,Capital Governorate,Kuwait,Al Rabiya Repairing Center Central Ac Repairing Services Split AC Reapiring Services Window AC Repairing Services Washing Machine Repairing Services Refrigerator Repairing Services Fridge Repairing Services Automatic Washing Machine Repairing Services Semi Automatic Washing Machine Repairing Services Dryer Repairing Services,,https://kuwaitlocal.com/business/al-jazeera-warba-repairing-center,,,,
Fawaz Refrigeration And Air Conditioning Co - Ardiya,+965 1888010,,"Mohamad Bin Al Qasim Street,Ardiya",Al Farwaniyah Governorate,Kuwait,Fawaz Refrigeration and Air-conditioning Co. WLL was established on 30th May 1973 as a Electro-Mechanical contracting company in Kuwait under the leadership of founder chairman Late Mr. Mubarak Abdulaziz Al Hassawi.,,https://kuwaitlocal.com/business/fawaz-refrigeration-and-air-conditioning-co-ardiya,https://www.facebook.com/pages/Fawaz-Refrigeration-Air-Conditioning-Co/155617237891706,,https://www.linkedin.com/company/fawaz-refrigeration-&-air--conditioning-co-llc,
Al Faisal Repairing Center,+96566456642,,Ardiya,Al Farwaniyah Governorate,Kuwait,Al Faisal Repairing Center Central Ac Repairing Services Split AC Reapiring Services Window AC Repairing Services Washing Machine Repairing Services Refrigerator Repairing Services Fridge Repairing Services Automatic Washing Machine Repairing Services Semi Automatic Washing Machine Repairing Services Dryer Repairing Services,,https://kuwaitlocal.com/business/al-faisal-repairing-center,https://www.facebook.com/alfaisalrepairingcenterkuwait/,,,
Fawaz Refrigeration And Air Conditioning Co - Shuwaikh,+965 1888010,,"Block B,Shuwaikh",Capital Governorate,Kuwait,Fawaz Refrigeration and Air-conditioning Co. WLL was established on 30th May 1973 as a Electro-Mechanical contracting company in Kuwait under the leadership of founder chairman Late Mr. Mubarak Abdulaziz Al Hassawi.,https://www.fawaz-group.com,https://kuwaitlocal.com/business/fawaz-refrigeration-and-air-conditioning-co-shuwaikh,https://www.facebook.com/pages/Fawaz-Refrigeration-Air-Conditioning-Co/155617237891706,,https://www.linkedin.com/company/fawaz-refrigeration-&-air--conditioning-co-llc,
Techno Cool Company - Al Rai,+965 24717077,,"Al rai Industrial Area, Opp Ace Hard Ware hasawi, Kuwait City, Kuwait,Al-Rai",Al Farwaniyah Governorate,Kuwait,"In a short span time, Techno Cool Co. has become synonymous with just about any component that has to do with air conditioning and refrigeration. The company is in a prime location in Kuwait, was established in 2001. We are one of the most reputed distributors and stockiest of a wide range of component, spares and tool for the industry, our commitment to quality is your guarantee of satisfaction. Our reputation is not without reason. We deal in the best brands from world’s well known companie...",https://www.technocoolkuwait.com,https://kuwaitlocal.com/business/techno-cool-company-al-rai,,,,
Kazema Global Holding,+965 24721199,,Kuwait City,Capital Governorate,Kuwait,"Business was founded in 1976, incorporated in 1977 under Kazema Engineering Projects WLL, and 2007 shareholder equities of Mr. Fadel Al-Kazemi and Late Shaker Al-Kazemi was transferred to the Kazema Global Holding Company. Kazema Global Holding Company core business represents Air-Conditioning & Refrigeration contracting, maintenance & distributions divided into the following sectors :- 1. Contracting Sector â— Kazema Engineering Projects WLL â— Kazema Refrigeration Contracting WLL â— Al K...",http://www.kazema.com/,https://kuwaitlocal.com/business/kazema-global-holding,,,https://www.linkedin.com/company/kazema-global-holding-company-ksch,
Al Hajri Gulf General Trading And Contracting Company,+965 22464780,,"Abdulla Al Salem Street,Mirqab",Capital Governorate,Kuwait,"Hajri Gulf General Trading and Contracting Company (HGTC) is a diversified establishment integrated in 2005 in the State of Kuwait, covering various sectors and delivering total solutions to clients, both in the public and private sectors. Al Hajri Gulf business line focuses into Oil & Gas, Clean Energy, Electricity & Water, Scientific and Educational Equipments.",https://www.alhajrigulf.com,https://kuwaitlocal.com/business/al-hajri-gulf-general-trading-and-contracting,,,https://kw.linkedin.com/in/alhajri-gulf,
Fajar Al Eman Contracting Company - Hawally,+96522662211,,"Tunis Street, Gad Restaurant Building, 1st Floor, Office # 1 Hawalli, 32066,Hawally",Hawalli Governorate,Kuwait,"Al Eman CAC & Elevator Maintenance Co, WLL, Kuwait is one of the best HAVC services providers of the country which is operating for over three decades in the field of maintenance and providing very specialized services so far as central air condition and elevator is concerned",http://www.alemanco.com/,https://kuwaitlocal.com/business/fajar-al-eman-contracting-company-hawally,,,https://www.linkedin.com/company/fajar-al-eman-contracting-company,
Fawaz Refrigeration And Air Conditioning Co - Hawally,+965 1888010,,Hawally,Hawalli Governorate,Kuwait,Fawaz Refrigeration and Air-conditioning Co. WLL was established on 30th May 1973 as a Electro-Mechanical contracting company in Kuwait under the leadership of founder chairman Late Mr. Mubarak Abdulaziz Al Hassawi.,https://www.fawaz-group.com,https://kuwaitlocal.com/business/fawaz-refrigeration-and-air-conditioning-co-hawally,https://www.facebook.com/pages/Fawaz-Refrigeration-Air-Conditioning-Co/155617237891706,,https://www.linkedin.com/company/fawaz-refrigeration-&-air--conditioning-co-llc,
Carrier Kuwait Air Conditioning - Shuwaikh,,,"Morad Yusuf Behbehani Building,Plot 1,Street 11,Shuwaikh",Capital Governorate,Kuwait,,http://www.carrier.com.kw/,https://kuwaitlocal.com/business/carrier-kuwait-air-conditioning-shuwaikh-1,,,,
Faddan General Trading And Contracting Company,+965 24710973,,Kuwait City,Capital Governorate,Kuwait,"For the last 31 years, the company has been providing general contracting and trading services to a variety of customers. The company was established in the year 1962 as an electrical trading and contracting company under the name “ A1 Barakat Electrical Contracting Est.“ Through management reorganization in the year 1982, the name of the company was changed to the present “ Faddan General Trading and Contracting Company W.L.L. Faddan is proven leader in the electrical construction works with...",http://www.faddan.com/,https://kuwaitlocal.com/business/faddan-general-trading-and-contracting-company,,,,
Fawaz Refrigeration And Air Conditioning Co - Al Rai,+965 1888010,,"20 St,Al-Rai",Al Farwaniyah Governorate,Kuwait,Fawaz Refrigeration and Air-conditioning Co. WLL was established on 30th May 1973 as a Electro-Mechanical contracting company in Kuwait under the leadership of founder chairman Late Mr. Mubarak Abdulaziz Al Hassawi.,https://www.fawaz-group.com,https://kuwaitlocal.com/business/fawaz-refrigeration-and-air-conditioning-co-al-rai,https://www.facebook.com/pages/Fawaz-Refrigeration-Air-Conditioning-Co/155617237891706,,https://www.linkedin.com/company/fawaz-refrigeration-&-air--conditioning-co-llc,
Kuwait Engineering Est - Hawally,+96597723764,+96599969757,"Al Othaman Street,Khalid Mall Complex,1st Floor,Office 5,Hawally",Hawalli Governorate,Kuwait,"Our vision is to be among the business leaders of Air-Conditioning & Refrigeration contracting, maintenance & distributions in Kuwait, GCC and the Arab world, by seeking life-long partnership with all our customers for whom we will continue to invest in latest technology, engineering capabilities and modern facilities to provide them with superior products and quality services. Kuwait Engineering Est. competent staff will always go the extra mile to maintain our customer’s delight year after ...",http://www.kuwait-engineering.com/,https://kuwaitlocal.com/business/kuwait-engineering-est-hawally,,,,
Techno Cool Company - Al Rai,+965 24717077,,"Industrial Area,Opp Ace Hardware,Al-Rai",Al Farwaniyah Governorate,Kuwait,"In a short span time, Techno Cool Co. has become synonymous with just about any component that has to do with air conditioning and refrigeration. The company is in a prime location in Kuwait, was established in 2001. We are one of the most reputed distributors and stockiest of a wide range of component, spares and tool for the industry, our commitment to quality is your guarantee of satisfaction. Our reputation is not without reason. We deal in the best brands from world’s well known companie...",http://www.technocoolkuwait.com/,https://kuwaitlocal.com/business/techno-cool-company-al-rai-1,,,,
Kuwait Cool And Solar Company,,,Kuwait City,Capital Governorate,Kuwait,Kuwait Cool Co. has highly skilled specialists who are able to deal with any type of high energy chillers. Preventative maintenance programs. Annual Services / Pre-Seasonal. Annual Repair / Primary. Repairing all types of compressors. Our goal is based on establishing solid relationships with our clients built on highest degrees of carederived from our concepts that assisted Kuwait Cool Co. to become a leading company in the field of preventative maintenance of air-conditioners.,http://www.kuwait-cool.com,https://kuwaitlocal.com/business/kuwait-cool-and-solar-company,https://www.facebook.com/kwt.cool/about,,,https://twitter.com/KuwaitCoolSolar
Sucko General Trad & Contracting Co - Farwaniya,,,"Al Magateer Commercial Complex,Habeeb Munawer Street,2nd Floor,Office No. 6,Farwaniya",Al Farwaniyah Governorate,Kuwait,"Sukco General Trading & Contracting Co is an experienced company that brings a personal touch to all its dealings with clients in the import, export and distribution sectors. We exist to create better international trading relationships between companies of all sizes, and to make the wheels of trade run more smoothly. Our mission is to create new opportunities for businesses that want to market their products in new countries, and for companies that want to source new products from abroad. Ou...",http://sukco.co/,https://kuwaitlocal.com/business/sucko-general-trad-contracting-co-farwaniya,,,,
Al-Maimoon Air Conditioning & Refrigeration Company W.L.L,,,"Office No.57-58,Near Fire Station,Shuwaikh",Capital Governorate,Kuwait,"Al-Maimoon Air Conditioning is one of the most renowned residential air conditioning specialists in Kuwait with extensive expertise in Ducted, Split and Room Air Conditioning designs and systems. Our success has been strongly supported by manufacturers such as Coolex, York, Carrier, Trane, Rheem, Daikin, Mitsubishi Electric, Panasonic, Hitachi and Toshiba.",http://www.maimooncoolair.net/,https://kuwaitlocal.com/business/al-maimoon-air-conditioning-refrigeration-company-w-l-l,,,,
Qurtoba National Establishment,,,"Block A, Shuwaikh Industrial,Shuwaikh",Capital Governorate,Kuwait,Qurtoba National Establishment Which is Located in Kuwait,https://www.qurtobanational.com,https://kuwaitlocal.com/business/qurtoba-national-establishment,,,,
Sahara Air Conditioning Company WLL,,,Fahaheel,Al-Ahmadi Governorate,Kuwait,Sahara Air Conditioning Company WLL Which is Located in Kuwait,https://www.saharaac.com,https://kuwaitlocal.com/business/sahara-air-conditioning-company-wll,https://www.facebook.com/pages/Sahara-Air-Conditioning-Company-WLL-Kuwait/191927180898744,,,
Al-Maimoon Air Conditioning & Refrigeration Company W.L.L - Sharq,+965 22420153,,"Office no.2, Floor no.1, Abdul Latif Ali Al-Shihab Bldg,Sharq",Capital Governorate,Kuwait,"Al-Maimoon Air Conditioning is one of the most renowned residential air conditioning specialists in Kuwait with extensive expertise in Ducted, Split and Room Air Conditioning designs and systems. Our success has been strongly supported by manufacturers such as Coolex, York, Carrier, Trane, Rheem, Daikin, Mitsubishi Electric, Panasonic, Hitachi and Toshiba.",http://www.maimooncoolair.net/,https://kuwaitlocal.com/business/al-maimoon-air-conditioning-refrigeration-company-w-l-l-sharq,,,,
Easa Husain Al-Yousifi & Sons Company,+965 180282,,Ardiya,Al Farwaniyah Governorate,Kuwait,Easa Husain Al-Yousifi & Sons Company Which is Located in Kuwait,https://www.yousifi.com.kw,https://kuwaitlocal.com/business/easa-husain-al-yousifi-sons-company,https://www.facebook.com/AlYousifigroup/about/?entry_point=page_nav_about_item&tab=page_info,,,
Shihana Kuwait Maintenance Of Central Air Conditioning Company,+965 9444499,,"Al Qibla - Commercial area - Block 11 - Fahad Al Salem St. - Al Souk Al Kabeer Building - Ground Floor - Office No. 220 Zip Code 13039, P.o. Box 3865,Safat",Capital Governorate,Kuwait,"Shihana Kuwait Maintenance of Central Air Conditioning Company is one of Shihana Kuwait Companies group. As we has Real Estate Company specialized in the management of third party's property management and since we faced problems in the air conditioning maintenance, the lack of the spare parts, non-commitment of timelines, the failure to commit to the contracts of air conditioning maintenance and the insufficiency of periodical preventive maintenance, it was necessary to establish a company s...",http://shihana.net/ac/index.php,https://kuwaitlocal.com/business/shihana-kuwait-maintenance-of-central-air-conditioning-company,https://www.facebook.com/shihanakuwait,https://www.instagram.com/shihanakuwait/,,https://twitter.com/shihanakuwait
